"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_grid-framework.scss", "SCSS", 0, 0, 0, 0, 50, 0, 8, 10, 68
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_grid.scss", "SCSS", 0, 0, 0, 0, 35, 0, 10, 8, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_hover.scss", "SCSS", 0, 0, 0, 0, 23, 0, 10, 5, 38
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_image.scss", "SCSS", 0, 0, 0, 0, 12, 0, 17, 8, 37
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_list-group.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 4, 22
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_lists.scss", "SCSS", 0, 0, 0, 0, 4, 0, 2, 2, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_nav-divider.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 2, 11
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_pagination.scss", "SCSS", 0, 0, 0, 0, 19, 0, 1, 3, 23
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_reset-text.scss", "SCSS", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_resize.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_screen-reader.scss", "SCSS", 0, 0, 0, 0, 21, 0, 9, 4, 34
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_size.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_table-row.scss", "SCSS", 0, 0, 0, 0, 21, 0, 5, 5, 31
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-emphasis.scss", "SCSS", 0, 0, 0, 0, 10, 0, 2, 3, 15
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-hide.scss", "SCSS", 0, 0, 0, 0, 10, 0, 2, 2, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_text-truncate.scss", "SCSS", 0, 0, 0, 0, 5, 0, 2, 2, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_transition.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\mixins\_visibility.scss", "SCSS", 0, 0, 0, 0, 3, 0, 2, 3, 8
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_align.scss", "SCSS", 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_background.scss", "SCSS", 0, 0, 0, 0, 14, 0, 1, 5, 20
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_borders.scss", "SCSS", 0, 0, 0, 0, 43, 0, 7, 10, 60
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_clearfix.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_display.scss", "SCSS", 0, 0, 0, 0, 25, 0, 7, 7, 39
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 44, 0, 1, 8, 53
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 39, 0, 4, 9, 52
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 25, 0, 5, 8, 38
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 3, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 4, 0, 1, 2, 7
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 7, 0, 2, 4, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_spacing.scss", "SCSS", 0, 0, 0, 0, 43, 0, 3, 6, 52
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 30, 0, 10, 19, 59
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\bootstrap\utilities\_visibility.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 3, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\public\scss\style.scss", "SCSS", 0, 0, 0, 0, 6, 0, 3, 1, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\blogRoutes.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 5, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\reviewRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\userRoutes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 5, 16
"c:\Users\Jerome\Desktop\BlogPost - Copy\routes\viewsRoute.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\Jerome\Desktop\BlogPost - Copy\server.js", "JavaScript", 0, 121, 0, 0, 0, 0, 13, 81, 215
"c:\Users\Jerome\Desktop\BlogPost - Copy\util\appError.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\404.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\contact.ejs", "HTML", 0, 0, 174, 0, 0, 0, 3, 44, 221
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\createBlog.ejs", "HTML", 0, 0, 152, 0, 0, 0, 7, 39, 198
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\index.ejs", "HTML", 0, 0, 234, 0, 0, 0, 4, 52, 290
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\login.ejs", "HTML", 0, 0, 141, 0, 0, 0, 3, 38, 182
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\myblogs.ejs", "HTML", 0, 0, 147, 0, 0, 0, 3, 41, 191
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\signup.ejs", "HTML", 0, 0, 151, 0, 0, 0, 3, 37, 191
"c:\Users\Jerome\Desktop\BlogPost - Copy\views\single.ejs", "HTML", 0, 0, 178, 0, 0, 0, 30, 67, 275
"Total", "-", 42809, 2411, 27059, 16829, 6282, 1607, 1544, 5300, 103841
